date,session,number,bill,question,result,description,yeatotal,naytotal
2009-09-16,1,282,H.R. 3288,On the Motion,Rejected,"Ensign Motion To Recommit Bill H.R. 3288 to the Committee on Appropriations; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",33,64
2009-09-17,1,283,H.R. 3288,On the Amendment S.Amdt. 2359,Rejected,Vitter Amdt. No. 2359.; To prohibit the use of funds for households that include convicted drug dealing or domestic violence offenders or members of violent gangs that occupy rebuilt public housing in New Orleans.,34,62
2009-09-17,1,284,H.R. 3288,On the Amendment S.Amdt. 2410,Rejected,DeMint Amdt. No. 2410; To limit the use of funds for the John Murtha Johnstown-Cambria County Airport.,43,53
2009-09-17,1,285,H.R. 3288,On the Amendment S.Amdt. 2403,Rejected,McCain Amdt. No. 2403 As Modified; To prohibit the use of funds to carry out the Brownsfields Economic Development Initiative program administered by the Department of Housing and Urban Development.,37,60
2009-09-17,1,286,H.R. 3288,On the Motion,Rejected,"Kyl Motion to Recommit H.R. 3288 to the Committee on Appropriations; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",34,64
2009-09-17,1,287,H.R. 3288,On Passage of the Bill,Passed,"H.R. 3288 as amended; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",73,25
2009-09-17,1,288,PN263,On the Nomination,Confirmed,"Confirmation of Gerard E. Lynch, of New York, to be U.S. Circuit Judge for the Second Circuit",94,3
2009-09-17,1,289,H.R. 2996,On the Amendment S.Amdt. 2394,Agreed to,Johanns Amdt. No. 2394; Prohibiting use of funds to fund the Association of Community Organizations for Reform Now (ACORN).,85,11
2009-09-22,1,290,H.R. 2996,On the Amendment S.Amdt. 2460,Agreed to,"Feinstein Amdt. No. 2460, as Modified; To support the participation of the Smithsonian Institution in activities under the Civil Rights History Project Act of 2009.",95,0
2009-09-22,1,291,H.R. 2996,On the Amendment S.Amdt. 2461,Rejected,McCain Amdt. No. 2461; To prohibit the use of appropriated funds for the Des Moines Art Center in the State of Iowa.,27,70
2009-09-22,1,292,H.R. 2996,On the Motion,Agreed to,"Motion to Table the DeMint Motion to Recommit to Committee on Appropriations; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",61,36
2009-09-23,1,293,H.R. 2996,On the Motion to Table,Agreed to,"Motion to Table Vitter Motion to Recommit H.R. 2996 to the Committee on Appropriations; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",56,42
2009-09-23,1,294,H.R. 2996,On the Motion to Table S.Amdt. 2514,Agreed to,Motion to Table McCaskill Amdt. No. 2514; To strike the earmarks for the Save America's Treasure program and to provide criteria for the distribution of grants under that program.,72,26
2009-09-24,1,295,H.R. 2996,On the Motion to Table S.Amdt. 2549,Agreed to,"Motion to Table Vitter Amdt. No. 2549; To ensure that the Assistant to the President for Energy and Climate Change (commonly known as the ""White House Climate Change Czar"") is not directing actions of departments and agencies funded by this Act.",57,41
2009-09-24,1,296,H.R. 2996,On the Motion to Table,Agreed to,"Motion to Table Ensign Motion to Recommit H.R. 2996 to the Committee on Appropriations; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",64,34
2009-09-24,1,297,H.R. 2996,On the Motion to Table S.Amdt. 2483,Agreed to,Motion to Table Coburn Amdt. No. 2483; To help preserve America's national parks and other public land treasures by reducing maintenance backlogs that threaten the health and safety of visitors.,79,19
2009-09-24,1,298,H.R. 2996,On Passage of the Bill,Passed,"H.R. 2996, As Amended; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",77,21
2009-09-29,1,299,PN681,On the Nomination,Confirmed,"Confirmation Jeffrey L. Viken, of South Dakota, to be U.S. District Judge",99,0
2009-09-30,1,300,H.R. 2918,On the Motion,Agreed to,"Motion to Waive Rule XXVIII Re: H.R. 2918 Conference Report; Legislative Branch Appropriations Act, 2010",61,39
2009-09-30,1,301,H.R. 2918,On the Motion,Agreed to,"Motion to Waive Budget Act Points of Order Re: H.R. 2918 Conference Report; Legislative Branch Appropriations Act, 2010",61,39
2009-09-30,1,302,H.R. 2918,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2918; Legislative Branch Appropriations Act, 2010",62,38
2009-09-30,1,303,H.R. 3326,On the Motion S.Amdt. 2558,Rejected,"Motion to Waive CBA McCain Amdt. No. 2558; To strike amounts available for procurement of C-17 aircraft in excess of the amount requested by the President in the budget for fiscal year 2010 and to make such amounts available instead for operation and maintenance in accordance with amounts requested by the President in that budget and for Operation and Maintenance, Army, for overseas contingent operations.",34,64
2009-10-01,1,304,H.R. 3326,On the Amendment S.Amdt. 2593,Agreed to,Levin Amdt. No. 2593; Relating to hearings on strategy and resources with respect to Afghanistan and Pakistan.,60,39
2009-10-01,1,305,H.R. 3326,On the Amendment S.Amdt. 2575,Rejected,McCain Amdt. No. 2575; To provide for testimony before Congress on the additional forces and resources required to meet United States objectives with respect to Afghanistan and Pakistan.,40,59
2009-10-06,1,306,PN261,On the Nomination,Confirmed,"Nomination of Thomas E. Perez, of Maryland, to be an Assistant Attorney General",72,22
2009-10-06,1,307,H.R. 3326,On the Amendment S.Amdt. 2567,Rejected,Barrasso Amdt. No. 2567; To prohibit the use of funds for the Center on Climate Change and National Security of the Central Intelligence Agency.,38,60
2009-10-06,1,308,H.R. 3326,On the Amendment S.Amdt. 2588,Agreed to,"Franken Amdt. No. 2588; To prohibit the use of funds for any Federal contract with Halliburton Company, KBR, Inc., any of their subsidiaries or affiliates, or any other contracting party if such contractor or a subcontractor at any tier under such contract requires that employees or independent contractors sign mandatory arbitration clauses regarding certain claims.",68,30
2009-10-06,1,309,H.R. 3326,On the Amendment S.Amdt. 2596,Agreed to,Bond Amdt. No. 2596; To limit the early retirement of tactical aircraft.,91,7
2009-10-06,1,310,H.R. 3326,On the Amendment S.Amdt. 2565,Rejected,"Coburn Amdt. No. 2565; To ensure transparency and accountability by providing that each member of Congress and the Secretary of Defense has the ability to review $1,500,000,000 in taxpayer funds allocated to the National Guard and Reserve components of the Armed Forces.",28,70
2009-10-06,1,311,H.R. 3326,On the Amendment S.Amdt. 2566,Rejected,"Coburn Amdt. No. 2566; To restore $166,000,000 for the Armed Forces to prepare for and conduct combat operations, by eliminating low-priority congressionally directed spending items for all operations and maintenance accounts.",25,73
2009-10-06,1,312,H.R. 3326,On the Amendment S.Amdt. 2580,Rejected,McCain Amdt. No. 2580; To strike amounts available for procurement of C-17 aircraft in excess of the amount requested by the President in the budget for fiscal year 2010.,30,68
2009-10-06,1,313,H.R. 3326,On the Amendment S.Amdt. 2623,Agreed to,Inouye Amdt. No. 2623; To provide full and open competition for congressionally directed spending items.,77,21
2009-10-06,1,314,H.R. 3326,On the Amendment S.Amdt. 2583,Rejected,McCain Amdt. No. 2583; To strike funding for the MARIAH Hypersonic Wind Tunnel Development Program.,43,55
2009-10-06,1,315,H.R. 3326,On Passage of the Bill,Passed,"H.R. 3326 as Amended; Department of Defense Appropriations Act, 2010",93,7
2009-10-07,1,316,H.R. 2847,On the Motion to Table S.Amdt. 2630,Agreed to,Motion to Table Vitter Amdt. No. 2630; To prohibit funds from being used in contravention of section 642(a) of the Illegal Immigration Reform and Immigrant Responsibility Act of 1996.,61,38
2009-10-08,1,317,H.R. 2847,On the Amendment S.Amdt. 2626,Rejected,"McCain Amdt. No. 2626; To eliminate funding for Public Telecommunications Facilities, Planning and Construction.",33,64
2009-10-08,1,318,H.R. 2997,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2997; Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2010",76,22
2009-10-08,1,319,H.R. 2847,On the Motion to Recommit,Rejected,"Ensign Motion to Recommit to H.R. 2847 to the Committee of Appropriations; Commerce, Justice, Science, and Related Agencies Appropriations Act, 2010",33,65
2009-10-13,1,320,H.R. 2847,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Committee Substitute to H.R. 2847; Commerce, Justice, Science, and Related Agencies Appropriations Act, 2010",56,38
2009-10-14,1,321,H.R. 3183,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Conference Report to Accompany H.R. 3183; Energy and Water Development and Related Agencies Appropriations Act, 2010",79,17
2009-10-15,1,322,H.R. 3183,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 3183; Energy and Water Development and Related Agencies Appropriations Act, 2010",80,17
2009-10-20,1,323,H.R. 2892,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2892; Department of Homeland Security Appropriations Act, 2010",79,19
2009-10-21,1,324,PN716,On the Nomination,Confirmed,"Confirmation Roberto A. Lange, of South Dakota, to be U.S. District Judge",100,0
2009-10-21,1,325,S. 1776,On the Cloture Motion,Rejected,Motion to Invoke Cloture on the Motion to Proceed to S. 1776; Medicare Physician Fairness Act of 2009,47,53
2009-10-22,1,326,H.R. 2647,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2647; National Defense Authorization Act for Fiscal Year 2010,64,35
2009-10-22,1,327,H.R. 2647,On the Conference Report,Agreed to,Conference Report to Accompany H.R. 2647; National Defense Authorization Act for Fiscal Year 2010,68,29
2009-10-27,1,328,PN715,On the Nomination,Confirmed,Confirmation Irene Cornelia Berger of West Virginia to be U.S. District Judge.,97,0
2009-10-27,1,329,H.R. 3548,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to H.R. 3548; Unemployment Compensation Extension Act of 2009,87,13
2009-10-29,1,330,H.R. 2996,On the Motion,Agreed to,"Motion to Waive Rule XXVIII Re: H.R. 2996.; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",60,40
2009-10-29,1,331,H.R. 2996,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2996; Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010",72,28
2009-11-02,1,332,H.R. 3548,On the Motion S.Amdt. 2712,Agreed to,Motion to invoke cloture on the Baucus Amdt. No. 2712 to H.R. 3548.; In the nature of a substitute.,85,2
2009-11-04,1,333,H.R. 3548,On the Motion,Agreed to,Motion to Invoke Cloture on H.R. 3548; Unemployment Compensation Extension Act of 2009,97,1
2009-11-04,1,334,H.R. 3548,On Passage of the Bill,Passed,H.R. 3548 as amended.; Unemployment Compensation Extension Act of 2009,98,0
2009-11-05,1,335,H.R. 2847,On the Motion,Agreed to,"Upon Reconsideration Motion to Invoke Cloture on the Reported Committee Substitute to H.R. 2847.; Commerce, Justice, Science, and Related Agencies Appropriations Act, 2010",60,39
2009-11-05,1,336,H.R. 2847,On the Amendment S.Amdt. 2631,Rejected,Coburn Amdt. No 2631.; To redirect funding of the National Science Foundation toward practical scientific research,36,62
2009-11-05,1,337,H.R. 2847,On the Motion S.Amdt. 2667,Rejected,Motion to Waive Section 302(F) of CBA re: Coburn Amdt. No. 2667; To reduce waste and abuse at the Department of Commerce.,42,57
2009-11-05,1,338,H.R. 2847,On the Motion to Table S.Amdt. 2669,Agreed to,"Motion to Table Graham Amdt. No. 2669; To prohibit the use of funds for the prosecution in Article III courts of the United States of individuals involved in the September 11, 2001, terrorist attacks.",54,45
2009-11-05,1,339,H.R. 2847,On the Motion S.Amdt. 2648,Rejected,Motion to Waive Sec. 302(F) of CBA Ensign Amdt. No. 2648 as modified.; To provide additional funds for the State Criminal Alien Assistance Program by reducing corporate welfare programs.,32,67
2009-11-05,1,340,H.R. 2847,On Passage of the Bill,Passed,"H.R. 2847 As Amended.; Commerce, Justice, Science, and Related Agencies Appropriations Act, 2010",71,28
2009-11-05,1,341,PN557,On the Nomination,Confirmed,"Confirmation Ignacia S. Moreno, of New York, to be an Assistant Attorney General.",93,0
2009-11-09,1,342,PN262,On the Nomination,Confirmed,"Confirmation Andre M. Davis, of Maryland, to be U.S. Circuit Judge for the Fourth Circuit",72,16
2009-11-09,1,343,PN680,On the Nomination,Confirmed,"Confirmation Charlene Edwards Honeywell, of Florida, to be U.S. District Judge for the Middle District of Florida",88,0
2009-11-16,1,344,H.R. 3082,On the Amendment S.Amdt. 2757,Agreed to,Coburn Amdt. No. 2757; To require public disclosure of certain reports.,93,0
2009-11-16,1,345,H.R. 3082,On the Motion,Rejected,"Coburn Motion to Commit H.R. 3082 to the Committee on Appropriations; Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2010",24,69
2009-11-17,1,346,H.R. 3082,On the Amendment S.Amdt. 2733,Agreed to,"Johnson Amdt. No. 2733; To increase by $50,000,000 the amount available for the Department of Veterans Affairs for minor construction projects for the purpose of converting unused Department of Veterans Affairs structures into housing with supportive services for homeless veterans, and to provide an offset.",98,1
2009-11-17,1,347,H.R. 3082,On the Motion to Table S.Amdt. 2774,Agreed to,"Motion to Table Inhofe Amdt. No 2774; To prohibit the use of funds appropriated or otherwise made available by this Act to construct or modify a facility in the United States or its territories to permanently or temporarily hold any individual held at Guantanamo Bay, Cuba.",57,43
2009-11-17,1,348,H.R. 3082,On Passage of the Bill,Passed,"H.R. 3082 As Amended; Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2010",100,0
2009-11-17,1,349,PN187,On the Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of David F. Hamilton, of Indiana, to be U.S. Circuit Judge for the Seventh Circuit.",70,29
2009-11-19,1,350,PN187,On the Nomination,Confirmed,"Confirmation David F. Hamilton, of Indiana, to be U.S. Circuit Judge for the Seventh Circuit.",59,39
2009-11-19,1,351,S. 1963,On the Amendment S.Amdt. 2785,Rejected,Coburn Amdt. No. 2785; To transfer funding for the United Nations contributions to offset costs of providing assistance to family caregivers of disabled veterans.,32,66
2009-11-19,1,352,S. 1963,On Passage of the Bill,Passed,S. 1963; Caregivers and Veterans Omnibus Health Services Act of 2009,98,0
2009-11-21,1,353,H.R. 3590,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to H.R. 3590; Patient Protection and Affordable Care Act,60,39
2009-12-01,1,354,PN841,On the Nomination,Confirmed,"Confirmation Jacqueline H. Nguyen, of CA, to be U.S. District Judge",97,0
2009-12-03,1,355,H.R. 3590,On the Amendment S.Amdt. 2791,Agreed to,Mikulski Amdt. 2791 As Amended; To clarify provisions relating to first dollar coverage for preventive services for women.,61,39
2009-12-03,1,356,H.R. 3590,On the Amendment S.Amdt. 2836,Rejected,"Murkowski Amdt. No. 2836; To ensure patients receive doctor recommendations for preventive health services, including mammograms and cervical cancer screening, without interference from government or insurance company bureaucrats.",41,59
2009-12-03,1,357,H.R. 3590,On the Amendment S.Amdt. 2826,Agreed to,Bennet Amdt. No. 2826; To protect and improve guaranteed Medicare benefits.,100,0
2009-12-03,1,358,H.R. 3590,On the Motion,Rejected,McCain Motion to Commit H.R. 3590 to the Committee on Finance; Patient Protection and Affordable Care Act,42,58
2009-12-04,1,359,H.R. 3590,On the Amendment S.Amdt. 2870,Agreed to,Whitehouse Amdt. No. 2870; To promote fiscal responsibility by protecting the Social Security surplus and CLASS program savings in this Act.,98,0
2009-12-04,1,360,H.R. 3590,On the Amendment S.Amdt. 2901,Rejected,Thune Amdt. No. 2901; To eliminate new entitlement programs and limit the government control over the health care of American families.,51,47
2009-12-04,1,361,H.R. 3590,On the Amendment S.Amdt. 2899,Agreed to,Stabenow Amdt. No. 2899; To ensure that there is no reduction or elimination of any benefits guaranteed by law to participants in Medicare Advantage plans.,97,1
2009-12-04,1,362,H.R. 3590,On the Motion,Rejected,Hatch Motion to Commit H.R. 3590 to the Committee on Finance; Patient Protection and Affordable Care Act,41,57
2009-12-05,1,363,H.R. 3590,On the Amendment S.Amdt. 2926,Agreed to,Kerry Amdt No. 2926; To protect home health benefits.,96,0
2009-12-05,1,364,H.R. 3590,On the Motion,Rejected,Johanns Motion to Commit to the Committee on Finance; Patient Protection and Affordable Care Act,41,53
2009-12-06,1,365,H.R. 3590,On the Amendment S.Amdt. 2905,Rejected,Lincoln Amdt. No. 2905; To modify the limit on excessive remuneration paid by certain health insurance providers to set the limit at the same levels as the salary of the President of the United States.,56,42
2009-12-06,1,366,H.R. 3590,On the Amendment S.Amdt. 2927,Rejected,Ensign Amdt. No. 2927; Relative to limitation on amount of attorney's contingency fees.,32,66
2009-12-07,1,367,H.R. 3590,On the Amendment S.Amdt. 2939,Agreed to,Pryor Amdt. No. 2939; To require the Secretary to provide information regarding enrollee satisfaction with qualified health plans offered through an Exchange through the Internet portal.,98,0
2009-12-07,1,368,H.R. 3590,On the Amendment S.Amdt. 2942,Rejected,Gregg Amdt. No. 2942; To prevent Medicare from being raided for new entitlements and to use Medicare savings to save Medicare.,43,56
2009-12-08,1,369,H.R. 3590,On the Motion to Table S.Amdt. 2962,Agreed to,Motion to Table Nelson Amdt. No. 2962; To prohibit the use of Federal funds for abortions.,54,45
2009-12-08,1,370,H.R. 3590,On the Motion,Rejected,McCain Motion to Commit H.R. 3590 to the Committee on Finance; Patient Protection and Affordable Care Act,42,57
2009-12-10,1,371,H.R. 3288,On the Motion to Proceed,Agreed to,"Motion to Proceed to the Conference Report to Accompany H.R. 3288; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",56,43
2009-12-11,1,372,H.R. 3288,On the Motion,Agreed to,"Motion to Waive Rule XXVIII Re: Conference Report to Accompany H.R. 3288; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",60,36
2009-12-12,1,373,H.R. 3288,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Conference Report to Accompany H.R. 3288; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",60,34
2009-12-13,1,374,H.R. 3288,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 3288; Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2010",57,35
2009-12-15,1,375,H.R. 3590,On the Amendment S.Amdt. 3183,Agreed to,Baucus Amdt. No. 3183; To protect middle class families from tax increases.,97,1
2009-12-15,1,376,H.R. 3590,On the Motion,Rejected,Crapo Motion to Commit H.R. 3590 to the Committee on Finance; Patient Protection and Affordable Care Act,45,54
2009-12-15,1,377,H.R. 3590,On the Amendment S.Amdt. 2793,Rejected,Dorgan Amdt. No. 2793; To provide for the importation of prescription drugs.,51,48
2009-12-15,1,378,H.R. 3590,On the Amendment S.Amdt. 3156,Rejected,Lautenberg Amdt. No. 3156; To provide for the importation of prescription drugs.,56,43
2009-12-16,1,379,H.R. 3590,On the Motion to Table,Agreed to,Motion to Table Hutchison Motion to Commit H.R. 3590 to the Committee on Finance; Patient Protection and Affordable Care Act,56,41
2009-12-17,1,380,H.R. 3326,On the Motion,Agreed to,"Reid Motion to Recess Until 12:01 A.M., Friday, December 18, 2009; Department of Defense Appropriations Act, 2010",59,38
2009-12-18,1,381,H.R. 3326,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3326.; Department of Defense Appropriations Act, 2010",63,33
2009-12-19,1,382,H.R. 3326,On the Motion to Table,Agreed to,"Motion to Table the Motion to Concur in the House Amdt. with an Amendment (Amdt. No. 3248); Department of Defense Appropriations Act, 2010",63,35
2009-12-19,1,383,H.R. 3326,On the Motion,Agreed to,"Motion to Waive CBA and All Budget Resolutions Re: Motion to Concur in House Amdt. to H.R. 3326; Department of Defense Appropriations Act, 2010",63,35
2009-12-19,1,384,H.R. 3326,On the Motion,Agreed to,"Motion To Concur In The House Amdt. To The Senate Amdt.; Department of Defense Appropriations Act, 2010",88,10
2009-12-21,1,385,H.R. 3590,On the Cloture Motion S.Amdt. 3276,Agreed to,Motion to Invoke Cloture on the Reid Amdt. No. 3276 to Amdt. No. 2786 to H.R. 3590; To improve the bill.,60,40
2009-12-22,1,386,H.R. 3590,On the Motion to Table S.Amdt. 3278,Agreed to,Motion to Table Reid Amdt. No. 3278; To change the enactment date.,60,39
2009-12-22,1,387,H.R. 3590,On the Amendment S.Amdt. 3276,Agreed to,Reid Amdt. No. 3276; To improve the bill.,60,39
2009-12-22,1,388,H.R. 3590,On the Cloture Motion S.Amdt. 2786,Agreed to,Motion to Invoke Cloture on the Reid Substitute Amdt. No. 2786; In the nature of a substitute.,60,39
2009-12-23,1,389,H.R. 3590,On the Point of Order S.Amdt. 2786,Not Well Taken,Is The Ensign Point of Order Well Taken?; In the nature of a substitute.,39,60
2009-12-23,1,390,H.R. 3590,On the Motion S.Amdt. 2786,Agreed to,Motion to Waive the CBA Section 425 A(2) re: Reid Amdt. No. 2786; In the nature of a substitute.,55,44
2009-12-23,1,391,H.R. 3590,On the Motion to Table S.Amdt. 2786,Agreed to,Motion to Table the Appeal of the Ruling of the Chair Re: Rule XLIV of Paragraph 4 Against Amdt. No. 2786; In the nature of a substitute.,57,42
2009-12-23,1,392,H.R. 3590,On the Point of Order S.Amdt. 2786,Not Well Taken,Is the Hutchison Constitutional Point of Order Well Taken?; In the nature of a substitute.,39,60
2009-12-23,1,393,H.R. 3590,On the Motion to Table S.Amdt. 2786,Agreed to,Motion to Table DeMint Motion to Suspend Rule XXII of the Standing Rules of the Senate; In the nature of a substitute.,53,46
2009-12-23,1,394,H.R. 3590,On the Amendment S.Amdt. 2786,Agreed to,Reid Substitute Amendment No. 2786 As Amended; In the nature of a substitute.,60,39
2009-12-23,1,395,H.R. 3590,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on H.R. 3590; Patient Protection and Affordable Care Act,60,39
2009-12-24,1,396,H.R. 3590,On Passage of the Bill,Passed,H.R. 3590 as Amended; Patient Protection and Affordable Care Act,60,39
2009-12-24,1,397,H.R. 4314,On Passage of the Bill,Passed,H.R. 4314; A bill to permit continued financing of Government operations.,60,39
2010-01-20,2,1,PN635,On the Nomination,Confirmed,"Confirmation Beverly Baldwin Martin, of Georgia, to be U.S. Circuit Judge",97,0
2010-01-21,2,2,H.J.Res. 45,On the Amendment S.Amdt. 3301,Rejected,"Thune Amdt. No. 3301; To terminate authority under the Troubled Asset Relief Program, and for other purposes.",53,45
2010-01-25,2,3,PN1077,On the Nomination,Confirmed,"Confirmation Rosanna Malouf Peterson, of Washington, to be U.S. District Judge",89,0
2010-01-26,2,4,H.J.Res. 45,On the Amendment S.Amdt. 3300,Agreed to,Baucus Amdt. No. 3300 as Modified; To protect Social Security.,97,0
2010-01-26,2,5,H.J.Res. 45,On the Amendment S.Amdt. 3302,Rejected,"Conrad Amdt. No. 3302; To establish a Bipartisan Task Force for Responsible Fiscal Action, to assure the long-term fiscal stability and economic security of the Federal Government of the United States, and to expand future prosperity and growth for all Americans.",53,46
2010-01-26,2,6,H.J.Res. 45,On the Amendment S.Amdt. 3303,Agreed to,"Coburn Amdt. No. 3303, Division I; To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.",94,0
2010-01-26,2,7,H.J.Res. 45,On the Amendment S.Amdt. 3303,Rejected,"Coburn Amdt. No. 3303, Division II; To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.",46,48
2010-01-26,2,8,H.J.Res. 45,On the Amendment S.Amdt. 3303,Rejected,"Coburn Amdt. No. 3303, Division III; To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.",33,61
2010-01-26,2,9,H.J.Res. 45,On the Amendment S.Amdt. 3303,Rejected,"Coburn Amdt. No. 3303, Division IV; To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.",37,57
2010-01-28,2,10,H.J.Res. 45,On the Amendment S.Amdt. 3309,Rejected,Brownback Amdt. No. 3309; To establish a Commission on Congressional Budgetary Accountability and Review of Federal Agencies.,51,49
2010-01-28,2,11,H.J.Res. 45,On the Amendment S.Amdt. 3308,Rejected,Sessions Amdt. No. 3308; To reduce the deficit by establishing 5-year discretionary spending caps.,56,44
2010-01-28,2,12,H.J.Res. 45,On the Amendment S.Amdt. 3305,Agreed to,Reid Amdt. No. 3305; To reimpose statutory pay-as-you-go.,60,40
2010-01-28,2,13,H.J.Res. 45,On the Amendment S.Amdt. 3299,Agreed to,Reid Amdt. No. 3299 As Amended; In the nature of a substitute.,60,40
2010-01-28,2,14,H.J.Res. 45,On the Joint Resolution,Agreed to,H. J. Res. 45 As Amended; A joint resolution increasing the statutory limit on the public debt.,60,39
2010-01-28,2,15,PN959,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Ben S. Bernanke, to be Chairman of the Board of Governors of the Federal Reserve",77,23
2010-01-28,2,16,PN959,On the Nomination,Confirmed,Confirmation Ben S. Bernanke To Be Chairman Of The Board of Governors of the Federal Reserve System,70,30
2010-02-01,2,17,PN319,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of M. Patricia Smith, to be Solicitor for the Department of Labor",60,32
2010-02-04,2,18,PN319,On the Nomination,Confirmed,"Confirmation M. Patricia Smith, of New York, to be Solicitor for the Department of Labor.",60,37
2010-02-04,2,19,PN393,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Nomination of Martha A. Johnson to be Administrator of General Services Administration,82,16
2010-02-04,2,20,PN393,On the Nomination,Confirmed,"Nomination: Martha N. Johnson, of Maryland, to be Administrator of General Services",96,0
2010-02-09,2,21,PN634,On the Nomination,Confirmed,"Confirmation Joseph A. Greenaway, Jr., of New Jersey, to be United States Circuit Judge for the Third Circuit",84,0
2010-02-09,2,22,PN1351,On the Cloture Motion,Rejected,"Cloture Motion on Craig Becker, of Illinois, to be a Member of the National Labor Relations Board",52,33
2010-02-22,2,23,H.R. 2847,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment with Amendment No. 3310 to H.R. 2847; Hiring Incentives to Restore Employment Act,62,30
2010-02-24,2,24,H.R. 2847,On the Motion S.Amdt. 3310,Agreed to,"Motion to Waive Section 201(a) of S. Con. Res. 21, 110th Congress, Re: Reid Amdt. No. 3310; In the nature of a substitute.",62,34
2010-02-24,2,25,H.R. 2847,On the Motion,Agreed to,Motion to Concur in the House Amdt. to the Senate Amdt. to H.R. 2847 With an Amendment (No. 3310); Hiring Incentives to Restore Employment Act,70,28
2010-02-25,2,26,H.R. 1299,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to the Senate Amdt. to H.R. 1299; United States Capitol Police Administrative Technical Corrections Act of 2009,76,20
2010-02-25,2,27,H.R. 1299,On the Motion,Rejected,DeMint Motion to Suspend Rule XXII; United States Capitol Police Administrative Technical Corrections Act of 2009,38,58
2010-02-25,2,28,H.R. 1299,On the Motion,Agreed to,Motion to Concur in the House Amendment to Senate Amendment to H.R. 1299; United States Capitol Police Administrative Technical Corrections Act of 2009,78,18
2010-03-02,2,29,PN937,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Barbara Milano Keenan, of VA, to be U.S. Circuit Judge",99,0
2010-03-02,2,30,PN937,On the Nomination,Confirmed,"Confirmation Barbara Milano Keenan, of Virginia, to be U.S. Circuit Judge for the Fourth Circuit.",99,0
2010-03-02,2,31,H.R. 4691,On the Motion S.Amdt. 3355,Rejected,Motion to Waive CBA Bunning Amdt. No. 3355; In the nature of a substitute.,43,53
2010-03-02,2,32,H.R. 4691,On Passage of the Bill,Passed,H.R. 4691; Temporary Extension Act of 2010,78,19
2010-03-03,2,33,H.R. 4213,On the Motion S.Amdt. 3338,Rejected,"Motion to Waive CBA Thune Amdt No. 3338, As Further Amended; To create additional tax relief for businesses, and for other purposes.",38,61
2010-03-03,2,34,H.R. 4213,On the Motion to Table S.Amdt. 3352,Agreed to,Motion to Table Grassley Amdt. No. 3352; To improve the bill.,54,45
